"field_1","site_no","Latitude","Longitude","date","sceneID","blue","green","red","nir","swir1","swir2","qa","dswe","blue_sd","green_sd","red_sd","nir_sd","swir1_sd","swir2_sd","qa_sd","dswe_sd","hillshade","hillshadow","hillshadow_sd","azimuth","zenith","pixelCount","elevation","Site_No_1","date.1","date.1.1","ActivityStartDate","sample_tm","SAMPLE_DEPTH","KB","CELLCOUNT_UNIT","YEAR","SN_y","SN","rivid","lengthkm","lengthdir","sinuosity","slope","uparea","order","strmDrop_t","slope_taud","NextDownID","maxup","up1","up2","up3","up4","lon","lat","mwth_mean","mwth_max","gwth_mean","gwth_max","Hylak_id","Lake_area","Grand_id","n","distance","feature_x","feature_y","nearest_x","nearest_y","Qout","discharge","TP","T2M","wind_U","wind_V","Wind_Speed","Wind_Direction","runoff","count","Site_ID"
2,NA,27.33375,-82.57938,"2018-12-31","L2A_T17RLL_A018398_20181230T161516",423,637,154.068047337278,50.6260296540362,77.7640175524135,64.9166666666667,0,1,174.36871009107,229.002931033962,184.693961398749,151.031395714101,165.248678703186,111.039259243862,0,0.151577632079119,205,1,0,158.043286577,53.9412037345,85,0,1,"2019/01/01 15:34:00","2018/12/30 15:34:00","2018/12/31","15:34",0.5,500,"cells/L",2018,1,1,73022334,4.08343551613155,3.65952483441536,1.11583762944566,0.000244891830923,188.319950744808,2,0,0,0,2,73022441,73022460,0,0,-82.54,27.2683333333,460.748228263855,981.936828613281,-1,-1,-1,-1,-1,1,0.046998784972473,-82.57938,27.33375,-82.5458333333333,27.3008333333333,2.6430447,2.6430447,1.5894572e-07,294.77646,-1.7714361,2.2466533,2.86102025626945,141.745007490664,0,54,1
3,NA,27.33375,-82.57938,"2019-01-09","L2A_T17RLL_A018541_20190109T161500",756,977,459.795774647887,308.253308128544,267.32,246.333333333333,2048,1,176.81000065658,228.071971278903,286.120357475552,282.258405742782,193.526870714589,141.971810643173,0,0.184522201663037,205,1,0,156.356894417,53.3417053356,85,0,1,"2019/01/10 15:29:00","2019/01/08 15:29:00","2019/01/09","15:29",0.5,206000,"cells/L",2019,1,1,73022334,4.08343551613155,3.65952483441536,1.11583762944566,0.000244891830923,188.319950744808,2,0,0,0,2,73022441,73022460,0,0,-82.54,27.2683333333,460.748228263855,981.936828613281,-1,-1,-1,-1,-1,1,0.046998784972473,-82.57938,27.33375,-82.5458333333333,27.3008333333333,1.3235817,1.3235817,2.1855037e-07,292.172,2.1424198,-3.5504634,4.14677621221252,328.892388561092,0,54,1
4,NA,27.33375,-82.57938,"2019-01-10","L2A_T17RLL_A018541_20190109T161500",756,977,459.795774647887,308.253308128544,267.32,246.333333333333,2048,1,176.81000065658,228.071971278903,286.120357475552,282.258405742782,193.526870714589,141.971810643173,0,0.184522201663037,205,1,0,156.356894417,53.3417053356,85,0,1,"2019/01/11 19:28:00","2019/01/09 19:28:00","2019/01/10","19:28",0.5,20000,"cells/L",2019,1,1,73022334,4.08343551613155,3.65952483441536,1.11583762944566,0.000244891830923,188.319950744808,2,0,0,0,2,73022441,73022460,0,0,-82.54,27.2683333333,460.748228263855,981.936828613281,-1,-1,-1,-1,-1,1,0.046998784972473,-82.57938,27.33375,-82.5458333333333,27.3008333333333,1.2416451,1.2416451,0,286.66483,0.8677292,-5.1108303,5.18396955237304,350.364070683764,0,54,1
5,NA,27.33375,-82.57938,"2019-01-14","L2A_T17RLL_A009704_20190114T160808",765.333333333333,876,330.71812749004,92.0261194029851,74.864406779661,65.5,0,1,208.734140174694,221.215009633833,270.094890732868,333.537081437548,273.611542400798,220.736728127702,0,0.257539376818856,203,1,0,155.462152343,52.7706932259,98,0,1,"2019/01/15 17:00:00","2019/01/13 17:00:00","2019/01/14","17:00",0.5,2500,"cells/L",2019,1,1,73022334,4.08343551613155,3.65952483441536,1.11583762944566,0.000244891830923,188.319950744808,2,0,0,0,2,73022441,73022460,0,0,-82.54,27.2683333333,460.748228263855,981.936828613281,-1,-1,-1,-1,-1,1,0.046998784972473,-82.57938,27.33375,-82.5458333333333,27.3008333333333,0.9745759,0.9745759,9.934107e-08,290.40677,2.2037373,-3.2363548,3.91541191688618,325.747801584581,0,54,1
6,NA,27.33375,-82.57938,"2019-01-15","L2A_T17RLL_A009704_20190114T160808",765.333333333333,876,330.71812749004,92.0261194029851,74.864406779661,65.5,0,1,208.734140174694,221.215009633833,270.094890732868,333.537081437548,273.611542400798,220.736728127702,0,0.257539376818856,203,1,0,155.462152343,52.7706932259,98,0,1,"2019/01/16 15:26:00","2019/01/14 15:26:00","2019/01/15","15:26",0.5,1000,"cells/L",2019,1,1,73022334,4.08343551613155,3.65952483441536,1.11583762944566,0.000244891830923,188.319950744808,2,0,0,0,2,73022441,73022460,0,0,-82.54,27.2683333333,460.748228263855,981.936828613281,-1,-1,-1,-1,-1,1,0.046998784972473,-82.57938,27.33375,-82.5458333333333,27.3008333333333,0.91919297,0.91919297,2.0662944e-06,286.50937,0.8756466,-4.642164,4.72402832029906,349.317869330167,0,54,1
15,NA,27.33375,-82.57938,"2021-04-29","L2A_T17RLL_A030553_20210428T160743",1241,1344,903,848,807,699,0,1,254.056739069576,231.8125679653,193.833261679551,326.075819404015,194.823156278257,184.609666293206,0,0.498887651569859,92,1,0,124.679433406322,21.2204812428914,15,0,1,"2021/04/30 00:00:00","2021/04/28 00:00:00","2021/04/29","00:00",0.5,8500,"cells/L",2021,1,1,73022334,4.08343551613155,3.65952483441536,1.11583762944566,0.000244891830923,188.319950744808,2,0,0,0,2,73022441,73022460,0,0,-82.54,27.2683333333,460.748228263855,981.936828613281,-1,-1,-1,-1,-1,1,0.046998784972473,-82.57938,27.33375,-82.5458333333333,27.3008333333333,0.29343632,0.29343632,2.1855037e-07,298.49496,-0.6011937,1.3238792,1.4539910595022,155.576477947347,0,54,1
16,NA,27.33375,-82.57938,"2021-07-22","L2A_T17RLL_A022860_20210722T160542",325.75,352.739130434783,140.11149825784,106.5,156.007782101167,140,0,1,141.75416488169,182.478650829255,132.866126008136,144.419975860299,152.982341438999,148.543318254589,0,0.285539201040433,85,1,0,107.528610026307,19.816005846817,67,0,1,"2021/07/23 00:00:00","2021/07/21 00:00:00","2021/07/22","00:00",0.5,226000,"cells/L",2021,1,1,73022334,4.08343551613155,3.65952483441536,1.11583762944566,0.000244891830923,188.319950744808,2,0,0,0,2,73022441,73022460,0,0,-82.54,27.2683333333,460.748228263855,981.936828613281,-1,-1,-1,-1,-1,1,0.046998784972473,-82.57938,27.33375,-82.5458333333333,27.3008333333333,1.7812209,1.7812209,4.0253002e-05,302.15366,1.3748817,-1.4431419,1.99322809345305,316.387588350943,2.8808913e-07,54,1
17,NA,27.33375,-82.57938,"2021-07-23","L2A_T17RLL_A022860_20210722T160542",325.75,352.739130434783,140.11149825784,106.5,156.007782101167,140,0,1,141.75416488169,182.478650829255,132.866126008136,144.419975860299,152.982341438999,148.543318254589,0,0.285539201040433,85,1,0,107.528610026307,19.816005846817,67,0,1,"2021/07/24 00:00:00","2021/07/22 00:00:00","2021/07/23","00:00",0.5,546000,"cells/L",2021,1,1,73022334,4.08343551613155,3.65952483441536,1.11583762944566,0.000244891830923,188.319950744808,2,0,0,0,2,73022441,73022460,0,0,-82.54,27.2683333333,460.748228263855,981.936828613281,-1,-1,-1,-1,-1,1,0.046998784972473,-82.57938,27.33375,-82.5458333333333,27.3008333333333,1.6300521,1.6300521,8.481741e-05,302.24582,1.5727392,-1.5800692,2.22937822452927,315.133207367483,3.6756197e-07,54,1
18,NA,27.33375,-82.57938,"2021-08-02","L2A_T17RLL_A023003_20210801T160549",319,429.53801732435,252.562607204117,204.622222222222,201.003350083752,166,0,1,81.2348019440334,132.931923221442,92.4599602230483,91.0644062466952,118.215732881259,89.9677076306597,0,0.153348458570577,89,1,0,113.387721323941,20.8754753640217,83,0,1,"2021/08/03 00:00:00","2021/08/01 00:00:00","2021/08/02","00:00",0.5,3970000,"cells/L",2021,1,1,73022334,4.08343551613155,3.65952483441536,1.11583762944566,0.000244891830923,188.319950744808,2,0,0,0,2,73022441,73022460,0,0,-82.54,27.2683333333,460.748228263855,981.936828613281,-1,-1,-1,-1,-1,1,0.046998784972473,-82.57938,27.33375,-82.5458333333333,27.3008333333333,1.6772563,1.6772563,7.979075e-05,302.28207,2.6703541,1.1036695,2.88944240029405,247.544469532665,3.973643e-07,54,1
19,NA,27.33375,-82.57938,"2021-08-11","L2A_T17RLL_A023146_20210811T160454",305,473,155,57.5,97.9883040935672,93.1923076923077,0,1,97.9613667736996,170.590494614893,91.5943599891724,82.5853706540901,119.754929507055,91.2827331888643,0,0,94,1,0,120.065002426575,22.2163370248087,83,0,1,"2021/08/12 00:00:00","2021/08/10 00:00:00","2021/08/11","00:00",0.5,485000,"cells/L",2021,1,1,73022334,4.08343551613155,3.65952483441536,1.11583762944566,0.000244891830923,188.319950744808,2,0,0,0,2,73022441,73022460,0,0,-82.54,27.2683333333,460.748228263855,981.936828613281,-1,-1,-1,-1,-1,1,0.046998784972473,-82.57938,27.33375,-82.5458333333333,27.3008333333333,3.820338,3.820338,0.00018624465,300.82205,-2.7469127,-0.18943214,2.75343674651993,86.0550237570208,8.543332e-07,54,1
